quiz,question,type
1,1,essay
1,2,short_answer
1,3,short_answer
1,4,short_answer
1,5,short_answer
1,6,short_answer
1,7,essay
1,8,short_answer
2,1,short_answer
2,2,short_answer
2,3,short_answer
2,4,short_answer
3,1,multiple_choice
3,2,essay
3,3,short_answer
3,4,multiple_choice
3,5,short_answer
3,6,short_answer
3,7,multiple_choice
3,8,multiple_choice
4,1,short_answer
4,2,short_answer
4,3,short_answer
4,4,short_answer
4,5,short_answer
4,6,short_answer
5,1,multiple_choice
5,2,multiple_choice
5,3,short_answer
5,4,short_answer
5,5,essay
6,1,multiple_choice
6,2,essay
6,3,multiple_choice
6,4,essay
6,5,short_answer
6,6,short_answer
6,7,short_answer
6,8,short_answer
7,1,multiple_choice
7,2,multiple_choice
7,3,multiple_choice
7,4,multiple_choice
7,5,short_answer
8,1,short_answer
8,2,short_answer
8,3,short_answer
8,4,short_answer
8,5,short_answer
8,6,short_answer
9,1,multiple_choice
9,2,multiple_choice
9,3,multiple_choice
9,4,multiple_choice
10,1,short_answer
10,2,short_answer
10,3,short_answer
10,4,short_answer
10,5,short_answer
10,6,short_answer
10,7,short_answer
10,8,short_answer
10,9,short_answer
10,10,short_answer
10,11,short_answer
11,1,multiple_choice
11,2,multiple_choice
11,3,multiple_choice
11,4,multiple_choice
11,5,essay
11,6,multiple_choice
12,1,multiple_choice
12,2,multiple_choice
13,1,multiple_choice
13,2,short_answer
13,3,short_answer
13,4,multiple_choice
13,5,multiple_choice
13,6,multiple_choice
13,7,multiple_choice
13,8,short_answer
13,9,short_answer
13,10,multiple_choice
13,11,multiple_choice
13,12,multiple_choice
13,13,multiple_choice
13,14,short_answer
13,15,short_answer
13,16,multiple_choice
13,17,multiple_choice
13,18,multiple_choice
13,19,multiple_choice
13,20,short_answer
13,21,short_answer
13,22,multiple_choice
13,23,multiple_choice
13,24,multiple_choice
13,25,multiple_choice
13,26,short_answer
13,27,short_answer
13,28,multiple_choice
13,29,multiple_choice
13,30,multiple_choice
14,1,short_answer
14,2,multiple_choice
14,3,essay
14,4,multiple_choice
14,5,multiple_choice
14,6,multiple_choice
15,1,multiple_choice
15,2,multiple_choice
15,3,multiple_choice
15,4,multiple_choice
16,1,multiple_choice
16,2,multiple_choice
16,3,multiple_choice
16,4,multiple_choice
16,5,essay
16,6,multiple_choice
17,1,short_answer
17,2,short_answer
17,3,short_answer
17,4,short_answer
17,5,short_answer
17,6,short_answer
18,1,multiple_choice
18,2,multiple_choice
18,3,short_answer
18,4,short_answer
19,1,multiple_choice
19,2,multiple_choice
19,3,short_answer
20,1,short_answer
20,2,short_answer
20,3,short_answer
20,4,short_answer
20,5,short_answer
20,6,short_answer
20,7,short_answer
21,1,multiple_choice
21,2,multiple_choice
21,3,multiple_choice
21,4,multiple_choice
21,5,multiple_choice
